date,AQIÖ¸Êý,PM2.5,PM10,O3,no2,so2,co,T,Po,U,Ff,VV,RRR,year,month,day
2022/2/25,51,82,36,48,6,3,2,13.9,608.8,51,2,25,0,2022,2,25
2022/2/26,59,88,28,41,7,2,2,16.2,609.3,43,3,29,0,2022,2,26
2022/2/27,50,70,28,46,8,2,2,16.4,607.5,34,4,30,0,2022,2,27
2022/2/28,54,69,34,46,10,3,3,16.9,608,35,2,30,0,2022,2,28
2022/3/1,56,78,42,49,14,3,3,16.6,609.3,28,4,30,0,2022,3,1
2022/3/2,60,84,28,43,7,3,2,16.8,607.8,33,2,29,0,2022,3,2
2022/3/3,53,68,25,47,5,5,2,17.2,607.1,27,3,30,0,2022,3,3
2022/3/4,58,62,29,48,6,5,3,17.7,606.7,26,4,30,0,2022,3,4
2022/3/5,62,68,33,51,8,5,4,18.8,605.9,24,5,30,0,2022,3,5
2022/3/6,67,79,53,59,9,8,4,17.8,608.3,25,2,25,0,2022,3,6
2022/3/7,83,113,36,39,5,5,3,17.4,610,40,2,21,0,2022,3,7
2022/3/8,46,76,28,50,5,4,2,19.9,606.2,46,3,30,0,2022,3,8
2022/3/9,69,67,31,49,7,5,2,20.4,605.9,27,1,30,0,2022,3,9
2022/3/10,64,73,35,55,8,5,3,22.4,605.7,25,3,30,0,2022,3,10
2022/3/11,70,76,37,56,5,5,3,22.1,605.3,27,4,30,0,2022,3,11
2022/3/12,74,81,35,57,7,5,2,22.1,605.8,29,4,29,0,2022,3,12
2022/3/13,74,81,37,56,9,5,3,21.5,606.5,24,1,30,0,2022,3,13
2022/3/14,76,83,47,49,12,7,4,23,607,29,3,30,0,2022,3,14
2022/3/15,59,104,45,56,10,6,4,18.3,604.8,58,2,30,0,2022,3,15
2022/3/16,77,99,51,72,9,4,6,21.1,603.6,44,5,17,0,2022,3,16
2022/3/17,99,117,43,70,11,4,3,21.7,605.2,34,3,20,0,2022,3,17
2022/3/18,90,79,55,64,16,5,4,21.2,605.2,24,2,30,0,2022,3,18
2022/3/19,85,110,56,69,5,3,5,23.6,602.7,26,3,25,0,2022,3,19
2022/3/20,94,127,60,69,5,3,5,22.6,603.2,34,3,14,0,2022,3,20
2022/3/21,92,142,59,48,7,3,6,22.9,604.5,33,3,15,0,2022,3,21
2022/3/22,80,140,52,41,11,3,6,18.7,606.9,59,3,11,0,2022,3,22
2022/3/23,67,127,25,38,5,3,5,16,606.9,71,1,20,0,2022,3,23
2022/3/24,50,65,46,56,4,3,2,19,602.7,54,5,24,7,2022,3,24
2022/3/25,77,94,52,52,5,4,2,18.8,605.5,40,5,23,0,2022,3,25
2022/3/26,70,109,37,39,10,3,3,18.9,607.6,44,2,17,0,2022,3,26
2022/3/27,46,82,40,49,10,5,4,9.9,609.8,88,2,18,3,2022,3,27
2022/3/28,64,95,52,56,6,3,3,18.5,606.5,45,3,25,0,2022,3,28
2022/3/29,75,119,50,58,5,3,3,20,605.3,48,3,18,0,2022,3,29
2022/3/30,78,107,46,23,12,4,4,21.3,606.7,41,3,22,0,2022,3,30
2022/3/31,51,93,11,34,4,3,3,11.9,611.3,73,4,22,0,2022,3,31
2022/4/1,44,21,11,35,4,3,3,5.7,614.8,85,3,9,0,2022,4,1
2022/4/2,42,31,29,50,8,4,3,8.2,614.2,73,2,30,0.2,2022,4,2
2022/4/3,73,76,38,50,10,4,4,14.3,610.3,47,2,30,0,2022,4,3
2022/4/4,62,80,29,32,7,7,4,17.3,610.6,56,2,20,0,2022,4,4
2022/4/5,41,63,32,27,10,5,4,10.2,612.7,78,3,24,0.4,2022,4,5
2022/4/6,34,64,30,52,15,4,3,10.1,614.1,86,2,12,0.9,2022,4,6
2022/4/7,63,63,55,48,22,4,5,14.1,611.2,58,1,30,0,2022,4,7
2022/4/8,63,109,39,50,8,4,4,15.1,608.8,77,0,17,0.2,2022,4,8
2022/4/9,100,89,41,71,11,4,4,13.3,606.6,88,1,16,11,2022,4,9
2022/4/10,100,98,53,63,12,4,4,18.2,606.1,65,1,20,0,2022,4,10
2022/4/11,85,101,43,45,9,4,3,19.6,605,48,2,20,0,2022,4,11
2022/4/12,65,86,57,56,16,4,4,16.2,605.4,56,1,30,0.9,2022,4,12
2022/4/13,80,87,53,51,5,4,3,23,604.2,39,5,30,0,2022,4,13
2022/4/14,75,103,58,58,6,4,4,21.4,605.2,47,4,17,0,2022,4,14
2022/4/15,77,134,52,56,5,4,2,17.9,605.5,75,3,10,2,2022,4,15
2022/4/16,75,97,56,57,4,5,3,21.9,605,39,3,22,0,2022,4,16
2022/4/17,81,102,34,26,7,5,3,20.2,606.7,36,4,30,0,2022,4,17
2022/4/18,46,80,27,21,6,4,3,11.6,610,82,2,9,0.7,2022,4,18
2022/4/19,38,68,24,51,8,5,2,14.1,608,78,2,9,0.1,2022,4,19
2022/4/20,68,53,27,46,8,5,2,17.1,607.6,59,1,21,0,2022,4,20
2022/4/21,54,64,31,45,7,5,2,17.3,605.1,56,3,30,0.5,2022,4,21
2022/4/22,54,67,46,58,10,5,3,20.3,605.2,47,5,30,0,2022,4,22
2022/4/23,70,76,42,56,5,5,2,22.4,604.8,45,3,30,0,2022,4,23
2022/4/24,70,77,53,62,5,5,1,23,603.6,29,4,30,0,2022,4,24
2022/4/25,78,84,57,81,5,6,2,23.6,604,30,4,28,0,2022,4,25
2022/4/26,97,91,65,76,5,5,3,24.1,604.7,29,3,23,0,2022,4,26
2022/4/27,98,106,55,77,5,4,2,23.8,605.1,24,3,26,0,2022,4,27
2022/4/28,97,96,64,75,13,4,4,24.4,606.4,24,3,24,0,2022,4,28
2022/4/29,96,122,61,73,6,4,4,24.1,605.4,34,2,24,0,2022,4,29
2022/4/30,98,117,21,29,4,5,3,22.5,606.3,34,3,22,0,2022,4,30
2022/5/1,37,48,12,39,3,4,2,9.2,610.6,73,5,30,0,2022,5,1
2022/5/2,49,35,26,46,6,5,3,13.9,610.9,50,4,30,0,2022,5,2
2022/5/3,65,57,51,72,15,6,4,14.3,610.9,50,2,30,0,2022,5,3
2022/5/4,85,99,44,39,9,6,5,18.1,608.7,53,1,28,0,2022,5,4
2022/5/5,52,95,26,45,9,6,4,15.1,607.6,84,2,13,0,2022,5,5
2022/5/6,58,61,30,53,8,6,4,17.3,606.8,66,2,30,0,2022,5,6
2022/5/7,69,66,37,47,6,5,3,22.5,606,49,3,30,0,2022,5,7
2022/5/8,63,73,27,42,5,5,4,23.4,605.5,45,3,30,0,2022,5,8
2022/5/9,51,57,22,56,6,5,4,21.5,605.7,61,3,30,0,2022,5,9
2022/5/10,70,51,21,33,3,5,4,23,605.3,51,3,30,0,2022,5,10
2022/5/11,39,43,24,48,6,5,5,22.5,604.1,62,5,30,0,2022,5,11
2022/5/12,65,40,24,51,9,6,6,19,604.1,78,1,30,0.2,2022,5,12
2022/5/13,69,53,25,31,6,5,5,22.4,603.8,62,3,30,0,2022,5,13
2022/5/14,38,56,15,25,6,5,6,21.5,605.8,68,3,17,0.2,2022,5,14
2022/5/15,33,36,22,33,6,5,6,12.4,608.7,87,2,9,1,2022,5,15
2022/5/16,37,62,28,32,8,4,5,14.4,608.8,75,1,12,0,2022,5,16
2022/5/17,38,57,30,38,5,5,4,16.4,607.6,78,3,12,0,2022,5,17
2022/5/18,45,60,46,44,7,4,4,20.9,606.2,56,3,30,0,2022,5,18
2022/5/19,55,77,34,36,8,4,5,23.4,606.2,48,1,25,0,2022,5,19
2022/5/20,48,77,20,20,6,3,5,18.1,606.8,71,3,19,0,2022,5,20
2022/5/21,24,36,8,22,5,3,4,16.4,604.7,94,2,6,12,2022,5,21
2022/5/22,25,11,12,24,4,3,4,15.9,604.2,95,2,2.9,19,2022,5,22
2022/5/23,27,20,12,27,5,3,4,17,606.1,95,0,3.6,1,2022,5,23
2022/5/24,35,14,28,41,8,4,5,20.5,606.6,77,2,30,0,2022,5,24
2022/5/25,47,50,31,48,6,4,5,23.8,604.2,59,2,30,0,2022,5,25
2022/5/26,60,56,23,31,6,4,5,20.1,603.7,87,4,7,4,2022,5,26
2022/5/27,40,40,31,46,6,5,5,23.5,601.8,69,3,30,0,2022,5,27
2022/5/28,61,56,34,50,6,5,5,24.3,602.1,50,3,30,0,2022,5,28
2022/5/29,67,67,31,46,7,4,5,22.1,603.1,77,1,27,0,2022,5,29
2022/5/30,63,57,21,40,5,3,5,21.3,605.6,64,2,24,0,2022,5,30
2022/5/31,48,49,23,39,5,4,5,21.1,604.3,73,3,30,0.1,2022,5,31
2022/6/1,47,42,26,34,4,4,5,24,603.6,58,4,30,0,2022,6,1
2022/6/2,42,30,19,35,4,4,5,23.7,602.5,54,4,30,0,2022,6,2
2022/6/3,42,39,27,41,4,4,5,23.4,603,58,4,30,0,2022,6,3
2022/6/4,47,47,32,39,5,5,6,24.2,603.3,54,3,30,0,2022,6,4
2022/6/5,46,53,34,45,4,6,4,19.1,605.7,81,3,18,2,2022,6,5
2022/6/6,50,53,47,49,5,5,5,19.5,606.1,71,1,30,0,2022,6,6
2022/6/7,77,78,42,31,8,4,5,22,605.8,62,2,30,0,2022,6,7
2022/6/8,41,73,25,27,7,5,5,20.2,605,86,1,10,10,2022,6,8
2022/6/9,34,47,23,28,8,5,5,21.7,604.3,82,1,30,4,2022,6,9
2022/6/10,33,49,16,25,5,4,5,20.4,604.8,86,1,12,9,2022,6,10
2022/6/11,30,31,21,28,4,5,6,19.8,605.3,87,2,25,3,2022,6,11
2022/6/12,32,35,19,31,6,6,5,21.9,605.4,71,3,30,0.9,2022,6,12
2022/6/13,40,35,14,40,5,4,3,16.2,607.2,87,2,30,3,2022,6,13
2022/6/14,52,37,31,58,9,4,4,15.4,608.6,91,1,8,3,2022,6,14
2022/6/15,71,71,27,34,6,3,5,19.9,606.9,72,1,19,0,2022,6,15
2022/6/16,40,55,24,32,4,2,4,20.2,605.3,80,2,27,0.1,2022,6,16
2022/6/17,39,49,17,30,3,2,2,21.9,604.2,62,4,30,0,2022,6,17
2022/6/18,36,28,16,36,3,3,2,21.7,603.5,63,3,30,0,2022,6,18
2022/6/19,41,29,17,37,4,4,3,24.2,602.6,54,2,30,0,2022,6,19
2022/6/20,41,34,19,33,4,3,3,24.3,602,55,4,30,0,2022,6,20
2022/6/21,40,37,18,26,3,3,2,24.1,603,57,4,30,0,2022,6,21
2022/6/22,30,35,19,19,5,4,2,23.4,605.1,63,3,30,0,2022,6,22
2022/6/23,21,36,15,21,5,4,2,19.6,606.5,88,2,30,20,2022,6,23
2022/6/24,26,24,17,21,5,5,2,21.5,605.8,76,1,30,0,2022,6,24
2022/6/25,25,27,16,20,4,4,1,22.4,604.7,66,3,30,1,2022,6,25
2022/6/26,25,20,18,17,4,4,2,22.2,605.5,67,3,30,0,2022,6,26
2022/6/27,20,26,18,30,6,3,2,20.6,605.5,83,1,30,0.3,2022,6,27
2022/6/28,38,39,37,36,11,3,2,20,604.8,72,2,28,5,2022,6,28
2022/6/29,48,71,38,37,10,4,2,20.3,605,87,2,11,0,2022,6,29
2022/6/30,79,70,18,32,4,2,2,24,604.7,52,2,30,0,2022,6,30
2022/7/1,37,50,25,36,7,3,2,21,605.2,81,3,30,0,2022,7,1
2022/7/2,48,57,30,36,9,3,2,20.7,604.1,75,1,29,0,2022,7,2
2022/7/3,44,56,34,43,11,3,3,20.1,603.9,86,1,21,2,2022,7,3
2022/7/4,46,65,34,28,13,3,3,19.4,604.6,89,1,24,17,2022,7,4
2022/7/5,35,59,33,70,13,3,2,19.3,605.8,86,1,30,0.4,2022,7,5
2022/7/6,93,61,44,54,16,4,3,25.4,605.4,52,1,30,0,2022,7,6
2022/7/7,75,70,34,64,10,4,3,19.6,605.5,76,1,30,0,2022,7,7
2022/7/8,90,70,17,32,4,2,3,23.4,605.6,57,2,25,0,2022,7,8
2022/7/9,39,36,24,38,6,3,3,22.2,605.7,67,3,30,0,2022,7,9
2022/7/10,44,49,21,31,5,2,3,23.5,605.7,63,2,30,0,2022,7,10
2022/7/11,37,39,20,34,5,3,3,24,606.4,64,2,30,0,2022,7,11
2022/7/12,39,38,22,41,5,4,2,25.6,605,58,3,30,0,2022,7,12
2022/7/13,48,50,24,46,5,4,2,25.5,604.8,57,3,30,0,2022,7,13
2022/7/14,65,57,21,48,5,4,2,26,605.2,52,3,30,0,2022,7,14
2022/7/15,65,46,23,32,4,4,3,26.1,605.2,54,1,30,0,2022,7,15
2022/7/16,40,41,20,29,4,3,3,27,605.4,51,3,30,0,2022,7,16
2022/7/17,33,33,19,28,4,3,4,24.8,604.6,63,3,30,0,2022,7,17
2022/7/18,31,32,21,23,7,3,4,24.6,603.6,65,2,30,0,2022,7,18
2022/7/19,25,37,31,11,14,7,5,20.2,604.5,100,1,30,13,2022,7,19
2022/7/20,30,56,24,25,8,7,4,18.6,608,99,1,30,21,2022,7,20
2022/7/21,32,53,16,29,5,4,3,18,609.7,94,4,21,0.6,2022,7,21
2022/7/22,38,35,18,31,4,3,3,23.7,608.3,64,1,30,0,2022,7,22
2022/7/23,38,36,13,29,4,4,3,22.7,607.9,66,2,30,0,2022,7,23
2022/7/24,32,24,13,26,4,4,3,21.9,607.3,76,1,30,0,2022,7,24
2022/7/25,33,25,17,28,4,4,3,25.3,607.7,49,3,30,0,2022,7,25
2022/7/26,33,36,17,31,4,4,4,25.4,606.6,50,3,30,0,2022,7,26
2022/7/27,36,39,21,34,8,4,3,23.9,607,60,2,30,0,2022,7,27
2022/7/28,42,35,28,38,9,5,4,21.7,607.9,70,1,30,0,2022,7,28
2022/7/29,55,54,30,43,9,4,4,23.9,606.4,68,2,30,0,2022,7,29
2022/7/30,70,57,29,32,8,4,4,26.1,605.2,46,3,30,0,2022,7,30
2022/7/31,42,62,28,41,7,4,4,20.3,606.2,74,1,28,1,2022,7,31
2022/8/1,52,57,21,35,6,3,5,21.8,605.7,81,1,25,3,2022,8,1
2022/8/2,42,46,23,33,7,4,5,19.4,607.6,94,1,30,11,2022,8,2
2022/8/3,37,44,26,33,9,7,6,23.8,606.7,70,3,30,0,2022,8,3
2022/8/4,37,51,31,46,10,3,4,18,606.7,99,2,30,1,2022,8,4
2022/8/5,60,60,25,33,9,4,3,19.6,606.1,97,3,21,26,2022,8,5
2022/8/6,41,52,13,30,3,2,3,20.2,606.1,97,2,20,6,2022,8,6
2022/8/7,38,27,16,34,5,3,2,20.3,607,78,3,30,0,2022,8,7
2022/8/8,41,29,36,53,11,4,3,21.8,606.4,66,1,30,0,2022,8,8
2022/8/9,57,66,28,52,8,5,3,19.3,605.1,100,1,14,19,2022,8,9
2022/8/10,67,60,20,27,5,4,2,25.2,605.3,51,3,25,0,2022,8,10
2022/8/11,35,51,14,26,4,3,2,23.3,605.8,63,4,30,0,2022,8,11
2022/8/12,34,25,15,41,5,3,3,22,606.3,69,2,30,0,2022,8,12
2022/8/13,49,29,23,41,6,5,4,22.6,605.8,70,2,30,0,2022,8,13
2022/8/14,46,39,29,67,9,5,3,19.5,606.1,94,2,30,6,2022,8,14
2022/8/15,65,53,30,44,7,4,3,23.6,606.2,73,1,30,0,2022,8,15
2022/8/16,56,61,26,39,7,4,3,24.7,605.5,66,2,27,0,2022,8,16
2022/8/17,46,59,28,41,9,3,3,19.8,606.1,100,1,23,17,2022,8,17
2022/8/18,54,57,28,54,8,3,4,24.3,605.2,64,2,30,0,2022,8,18
2022/8/19,57,46,25,53,7,2,3,24.4,605.5,63,2,30,0,2022,8,19
2022/8/20,60,55,16,32,4,3,3,22.2,605.6,79,1,28,0,2022,8,20
2022/8/21,39,41,17,30,6,2,3,19.8,605.5,100,1,19,10,2022,8,21
2022/8/22,41,36,21,43,6,4,3,23.4,606.6,70,1,30,0,2022,8,22
2022/8/23,55,43,28,44,9,3,3,24.5,607.3,74,1,30,0,2022,8,23
2022/8/24,54,52,30,34,8,3,3,24.2,606.2,73,1,25,23,2022,8,24
2022/8/25,44,61,22,26,7,2,3,20,605.6,98,3,8,10,2022,8,25
2022/8/26,32,48,12,28,4,1,2,20.4,606.9,76,3,30,0,2022,8,26
2022/8/27,33,18,17,25,5,3,2,20.8,606.8,92,1,30,3,2022,8,27
2022/8/28,29,26,18,24,5,2,2,22.3,606.8,73,1,30,0,2022,8,28
2022/8/29,28,30,17,27,5,3,3,23.5,608,65,3,30,0,2022,8,29
2022/8/30,28,24,26,27,7,4,3,22.8,607.7,70,2,30,0.1,2022,8,30
2022/8/31,31,50,17,26,5,2,3,19.4,608.1,100,2,28,7,2022,8,31
2022/9/1,31,48,23,29,5,2,3,18.8,609.7,77,1,18,5,2022,9,1
2022/9/2,34,60,24,28,7,3,3,21.1,608,81,1,30,0.2,2022,9,2
2022/9/3,29,43,13,30,4,4,2,19,607,99,5,3.1,5,2022,9,3
2022/9/4,37,27,18,50,6,4,1,17.8,609.4,72,3,30,0,2022,9,4
2022/9/5,66,40,28,63,9,5,2,20.6,609.3,58,2,30,0,2022,9,5
2022/9/6,80,61,35,66,12,4,2,21.7,610.4,48,2,30,0,2022,9,6
2022/9/7,91,73,37,56,7,4,2,19.1,611.1,67,1,30,0,2022,9,7
2022/9/8,72,86,31,46,4,4,2,20.7,611.9,64,2,22,0,2022,9,8
2022/9/9,50,75,16,28,4,3,1,17.4,611.5,100,1,19,26,2022,9,9
2022/9/10,32,37,17,24,5,3,1,17,610.9,100,0,7,5,2022,9,10
2022/9/11,29,41,11,22,5,3,1,18.2,609.1,99,4,4.1,4,2022,9,11
2022/9/12,25,22,18,33,7,3,1,17.1,608.6,100,1,30,11,2022,9,12
2022/9/13,39,27,16,26,6,3,3,20.3,608.7,79,3,30,0,2022,9,13
2022/9/14,30,26,22,14,9,3,4,20.4,607.5,77,1,30,0,2022,9,14
2022/9/15,27,33,24,26,9,4,4,18,606.4,100,0,16,6,2022,9,15
2022/9/16,28,42,23,22,5,3,3,19.9,605.2,83,3,30,0,2022,9,16
2022/9/17,27,39,27,38,9,2,3,19.9,607,82,1,30,0,2022,9,17
2022/9/18,45,52,26,39,8,4,3,21.3,607.1,78,1,30,0,2022,9,18
2022/9/19,41,42,27,42,7,2,2,21.1,607.3,83,1,27,0,2022,9,19
2022/9/20,49,53,34,41,9,3,3,21.2,608.1,73,1,25,0,2022,9,20
2022/9/21,44,66,37,37,10,2,3,20.3,608.4,81,2,17,0,2022,9,21
2022/9/22,46,74,17,32,5,3,3,19.2,608.8,85,2,13,0,2022,9,22
2022/9/23,37,35,24,43,6,2,2,19.1,609,75,2,21,0,2022,9,23
2022/9/24,50,59,35,42,12,2,3,18,609.2,78,1,18,0,2022,9,24
2022/9/25,51,69,33,52,11,3,3,17.7,609.5,80,0,26,0,2022,9,25
2022/9/26,65,65,31,50,8,4,3,20.2,608.1,75,2,27,0,2022,9,26
2022/9/27,65,58,33,50,5,3,2,20.3,607.7,75,1,28,0,2022,9,27
2022/9/28,59,74,38,39,7,4,3,19.1,608.6,74,4,19,0,2022,9,28
2022/9/29,45,75,27,30,6,4,2,18.1,609.3,77,3,11,0,2022,9,29
2022/9/30,37,60,28,28,9,2,2,19.3,608.5,72,1,26,0,2022,9,30
2022/10/1,34,53,26,24,8,3,2,19.3,608.1,98,1,20,1,2022,10,1
2022/10/2,29,43,18,21,5,3,1,18.7,609.2,100,1,30,1,2022,10,2
2022/10/3,26,26,20,30,5,3,1,19.2,610.3,85,1,30,0,2022,10,3
2022/10/4,33,45,22,33,6,4,1,19.8,610.6,75,1,30,0,2022,10,4
2022/10/5,37,47,20,26,8,2,1,20.5,609.7,62,2,30,0,2022,10,5
2022/10/6,29,34,29,25,8,2,1,19.1,610.1,78,1,30,0,2022,10,6
2022/10/7,27,54,22,24,5,1,1,20.6,609.5,66,3,30,0,2022,10,7
2022/10/8,26,43,18,20,6,2,2,19.5,609.7,70,1,30,0.1,2022,10,8
2022/10/9,26,34,15,20,5,2,1,12.3,614.9,74,6,30,0,2022,10,9
2022/10/10,26,37,27,17,8,3,3,12.2,612.7,80,0,22,0,2022,10,10
2022/10/11,32,55,22,16,8,2,3,15.2,610.6,95,1,11,0,2022,10,11
2022/10/12,25,55,26,11,7,2,3,17.1,609.4,95,0,30,0,2022,10,12
2022/10/13,28,56,34,29,6,4,3,16.8,609.9,89,2,16,0,2022,10,13
2022/10/14,42,85,53,23,8,4,4,14.3,611.3,82,2,8,0,2022,10,14
2022/10/15,48,120,33,30,8,2,2,14.7,611.7,75,3,16,0,2022,10,15
2022/10/16,39,66,33,42,7,4,2,14.9,613.2,74,2,17,0,2022,10,16
2022/10/17,53,59,39,50,8,3,3,14.9,612.9,55,2,30,0,2022,10,17
2022/10/18,65,82,49,60,14,6,4,15.4,611.9,48,2,26,0,2022,10,18
2022/10/19,85,92,54,50,21,4,5,12.8,610.9,71,1,17,0,2022,10,19
2022/10/20,72,100,42,33,16,3,4,16.8,611.3,69,2,30,0,2022,10,20
2022/10/21,45,78,30,27,11,3,4,16.3,612.9,86,1,17,0,2022,10,21
2022/10/22,45,58,22,20,8,3,3,18.1,613.6,78,2,30,0,2022,10,22
2022/10/23,29,43,30,30,9,3,3,16.8,612.4,100,0,24,0.6,2022,10,23
2022/10/24,38,65,34,32,7,2,3,19.1,611,70,2,24,0,2022,10,24
2022/10/25,38,76,25,29,6,2,4,18.5,611,69,1,27,0,2022,10,25
2022/10/26,34,68,27,19,8,4,6,18.6,610.5,72,1,20,0,2022,10,26
2022/10/27,32,67,24,24,7,3,3,17.1,610.8,95,2,23,0,2022,10,27
2022/10/28,28,61,26,22,7,2,3,17.4,609.9,79,1,25,0.4,2022,10,28
2022/10/29,28,59,28,37,9,3,3,16.6,610.5,89,1,30,0,2022,10,29
2022/10/30,41,54,25,31,6,5,4,16.2,610.3,75,1,26,0,2022,10,30
2022/10/31,39,69,30,40,15,3,4,14.8,613,62,3,30,0,2022,10,31
2022/11/1,49,58,37,44,17,3,4,12.1,610.2,73,1,30,0,2022,11,1
2022/11/2,57,81,36,44,16,3,4,15.3,608.2,64,1,26,0,2022,11,2
2022/11/3,57,82,37,40,9,3,3,16.6,610.1,66,1,23,0,2022,11,3
2022/11/4,50,91,41,41,12,2,3,13.7,611.8,77,1,18,0,2022,11,4
2022/11/5,51,99,33,39,10,4,4,13.4,611.8,100,1,10,0,2022,11,5
2022/11/6,44,77,30,38,11,3,4,14.4,610.5,64,2,26,0,2022,11,6
2022/11/7,45,72,29,38,11,3,4,15.6,609.7,57,2,30,0,2022,11,7
2022/11/8,45,68,33,36,12,2,5,15,610,66,2,30,0,2022,11,8
2022/11/9,43,70,28,37,8,4,4,14.7,610.3,69,1,26,0,2022,11,9
2022/11/10,44,64,29,38,10,5,4,15.4,609.9,49,1,30,0,2022,11,10
2022/11/11,44,62,26,41,10,4,4,17.4,609.7,43,2,30,0,2022,11,11
2022/11/12,47,62,30,35,15,3,4,15.1,609.3,61,2,29,0,2022,11,12
2022/11/13,45,65,26,36,9,3,5,17.6,609.8,51,2,30,0,2022,11,13
2022/11/14,43,60,23,35,9,4,4,14.9,609.6,60,1,30,0,2022,11,14
2022/11/15,42,56,23,37,8,2,4,15.3,608.6,48,2,30,0,2022,11,15
2022/11/16,44,49,23,26,9,1,4,15.4,608.4,42,2,30,0,2022,11,16
2022/11/17,35,46,18,34,8,2,4,15,608.5,57,1,30,0,2022,11,17
2022/11/18,40,40,32,39,15,2,5,12.8,609.9,65,1,30,0,2022,11,18
2022/11/19,45,65,33,34,13,2,4,12.3,609.8,64,1,18,0,2022,11,19
2022/11/20,41,67,17,35,6,3,4,16.4,608.1,48,2,30,0,2022,11,20
2022/11/21,42,44,23,36,10,2,4,16.9,607.4,45,1,30,0,2022,11,21
2022/11/22,45,50,31,40,12,2,4,14.1,608.3,64,1,16,0,2022,11,22
2022/11/23,46,64,24,41,11,2,4,16.1,608.7,51,1,30,0,2022,11,23
2022/11/24,48,58,28,44,15,3,5,15.7,609.4,47,2,30,0,2022,11,24
2022/11/25,48,56,38,32,15,4,4,12.4,610,68,1,30,0,2022,11,25
2022/11/26,44,71,20,29,4,3,4,14.8,606.9,59,1,30,0,2022,11,26
2022/11/27,39,42,19,32,4,3,5,17.4,605.8,48,3,30,0,2022,11,27
2022/11/28,39,32,19,35,5,3,5,16.1,607.7,49,2,30,0,2022,11,28
2022/11/29,42,44,24,37,9,4,6,15.8,608.4,47,1,30,0,2022,11,29
2022/11/30,43,54,19,25,7,4,4,16.9,609.1,42,3,30,0,2022,11,30
2022/12/1,31,46,26,27,8,4,6,16.7,608.3,62,3,30,0,2022,12,1
2022/12/2,35,56,15,27,5,2,6,15.4,607.9,53,2,30,0,2022,12,2
2022/12/3,35,33,18,32,7,3,4,15.5,608.1,45,2,30,0,2022,12,3
2022/12/4,40,30,27,24,8,4,6,14.5,609,44,2,30,0,2022,12,4
2022/12/5,36,67,21,26,6,4,4,13.1,609.1,59,1,30,0,2022,12,5
2022/12/6,35,47,20,28,6,3,4,14.4,607.7,52,2,30,0,2022,12,6
2022/12/7,36,45,18,30,5,3,4,14,607.9,48,2,30,0,2022,12,7
2022/12/8,39,38,19,31,7,3,5,11.5,608.3,49,1,30,0,2022,12,8
2022/12/9,39,48,31,30,13,7,7,13.2,607.2,41,2,30,0,2022,12,9
2022/12/10,48,71,28,33,9,4,6,13.1,607,51,2,28,0,2022,12,10
2022/12/11,41,73,27,15,7,3,7,13.2,606.5,45,1,30,0,2022,12,11
2022/12/12,43,81,30,30,8,5,7,7.9,609.8,83,2,14,0,2022,12,12
2022/12/13,37,77,25,18,8,3,8,11.8,608,68,2,30,0,2022,12,13
2022/12/14,42,76,28,29,6,3,6,8.3,609.3,89,2,10,0,2022,12,14
2022/12/15,37,71,31,34,8,5,6,13.6,605.9,63,3,30,0,2022,12,15
2022/12/16,41,83,21,20,6,5,7,10.7,609.7,70,4,11,0,2022,12,16
2022/12/17,28,65,41,30,7,3,6,2.9,616.1,66,3,27,0,2022,12,17
2022/12/18,54,105,35,27,9,3,6,6.1,610.9,69,2,7,0,2022,12,18
2022/12/19,41,93,27,28,5,3,5,10.3,606.9,58,2,30,0,2022,12,19
2022/12/20,35,75,39,17,9,4,7,10.2,608.7,65,5,10,0,2022,12,20
2022/12/21,50,108,30,28,10,3,7,7.1,608.5,90,1,12,0,2022,12,21
2022/12/22,42,84,35,31,12,3,6,11.5,606.8,61,2,30,0,2022,12,22
2022/12/23,46,80,50,28,7,3,6,11.2,607.6,59,1,30,0,2022,12,23
2022/12/24,74,131,29,27,6,3,5,10.9,608.6,72,2,17,0,2022,12,24
2022/12/25,35,75,33,38,7,3,5,11.8,608.6,65,1,29,0,2022,12,25
2022/12/26,48,80,38,39,6,3,5,12.8,609.2,51,3,17,0,2022,12,26
2022/12/27,49,95,19,19,7,2,6,12.4,608.2,60,2,15,0,2022,12,27
2022/12/28,33,66,33,11,7,3,7,4,610.7,96,2,4.8,0.2,2022,12,28
2022/12/29,40,69,22,10,10,2,7,6.6,612,96,1,7,0.4,2022,12,29
2022/12/30,35,66,19,20,10,2,6,7.3,611.8,100,2,11,0.6,2022,12,30
2022/12/31,28,64,20,18,9,2,5,9.6,611,92,1,30,2,2022,12,31
2023/1/1,27,59,24,27,9,3,5,9.6,611.4,90,1,30,2,2023,1,1
2023/1/2,34,63,24,27,9,3,5,8.6,612.3,79,1,30,0,2023,1,2
2023/1/3,34,66,20,29,6,2,4,10.5,610.7,67,2,30,0,2023,1,3
2023/1/4,37,55,28,31,10,3,5,11.3,610.3,63,2,30,0,2023,1,4
2023/1/5,40,69,31,35,10,4,5,10.5,612,66,1,29,0,2023,1,5
2023/1/6,47,82,46,29,20,4,5,11.2,614.7,33,2,30,0,2023,1,6
2023/1/7,52,76,47,40,19,3,7,7,610.1,50,2,14,0,2023,1,7
2023/1/8,58,101,47,38,20,2,7,9.4,610,56,2,28,0,2023,1,8
