date,AQIÖ¸Êý,PM2.5,PM10,O3,no2,so2,co,T,Po,U,Ff,VV,RRR
2015/5/17,-0.177399449,0.852356188,0.101454488,-0.175523825,-0.29089361,3.242271019,0.574710221,1.628710339,-1.433437245,-1.274935227,2.140714692,0.139012876,-0.244119508
2015/5/18,-1.006312682,0.029132513,0.043022351,-0.355521177,-0.471424627,2.471385128,0.574710221,1.688538576,-1.076866055,-1.174856991,0.551362959,0.379184811,-0.244119508
2015/5/19,-1.282617093,-0.003796434,0.101454488,0.364468233,-0.110362593,1.700499236,0.90930337,1.269740917,-1.433437245,-0.524348462,1.346038826,0.139012876,-0.244119508
2015/5/20,-0.122138567,0.226706195,-0.716595439,-0.775515,0.250699441,0.158727454,0.90930337,0.771172275,-0.958008992,0.626551244,-0.243312908,-1.061846801,-0.244119508
2015/5/21,0.485731137,0.226706195,-0.716595439,-0.715515882,-0.471424627,0.5441704,0.574710221,0.332431871,-0.720294865,1.377138009,-1.037988774,0.139012876,0.869647513
2015/5/22,0.651513784,-0.464801691,-0.249138338,0.244469998,0.070168424,1.700499236,0.574710221,0.61163031,-1.156104097,1.12694242,-1.037988774,-0.10115906,-0.188431157
2015/5/23,0.540992019,0.029132513,-0.015409787,0.66446382,-0.471424627,1.315056291,0.574710221,0.671458547,-1.037247034,0.27627742,0.551362959,-1.422104704,-0.244119508
2015/5/24,0.154165844,0.325493036,0.744208003,1.084457643,-0.29089361,2.085942182,0.574710221,1.429282882,-1.354199203,-1.124817874,1.346038826,0.259098843,-0.244119508
2015/5/25,0.098904962,0.226706195,1.270097242,0.90446029,-0.471424627,1.315056291,0.574710221,1.469168373,-1.473056266,-1.124817874,1.346038826,-0.10115906,-0.244119508
2015/5/26,0.872557312,0.621853559,0.977936554,0.66446382,-0.471424627,0.929613345,0.90930337,1.52899661,-1.314580182,-1.024739638,2.140714692,-0.221245027,-0.244119508
2015/5/27,0.927818195,0.523066718,0.977936554,0.364468233,-0.471424627,0.929613345,0.574710221,1.349511899,-1.473056266,-0.924661403,2.140714692,0.619356746,-0.244119508
2015/5/28,-0.122138567,-0.168441169,0.744208003,1.084457643,-0.29089361,1.700499236,0.574710221,1.509053865,-1.869246478,-1.074778756,2.935390559,0.379184811,-0.244119508
2015/5/29,-0.232660331,0.325493036,1.036368691,1.084457643,-0.110362593,1.315056291,1.578489668,1.688538576,-1.23534214,-1.124817874,1.346038826,-0.341330995,-0.244119508
2015/5/30,-0.122138567,0.7206404,0.685775865,0.364468233,-0.832486661,0.158727454,0.240117072,1.548939356,-0.918389971,-0.023957286,-1.037988774,-0.461416962,-0.244119508
2015/5/31,0.651513784,-0.036725381,0.276750901,0.364468233,-0.832486661,0.158727454,-0.094476077,1.628710339,-1.552294309,-1.124817874,2.935390559,0.379184811,-0.244119508
2015/6/1,0.04364408,-0.333085903,0.510479452,0.42446735,-0.471424627,0.929613345,-0.094476077,1.608767593,-1.552294309,-1.124817874,1.346038826,0.259098843,-0.244119508
2015/6/2,-0.508964742,-0.102583275,0.919504416,-0.355521177,-0.110362593,0.5441704,0.240117072,1.887966032,-1.433437245,-1.274935227,1.346038826,0.139012876,-0.244119508
2015/6/3,-0.343182096,0.490137771,0.627343727,-0.355521177,-0.832486661,0.929613345,0.240117072,1.768309558,-0.87877095,-0.624426697,-0.243312908,-0.58150293,-0.244119508
2015/6/4,-0.619486507,0.39135093,-0.424434751,-0.175523825,0.250699441,-0.612158437,0.240117072,1.309626408,-0.759913886,-0.324191991,0.551362959,-0.821674865,-0.244119508
2015/6/5,-0.287921214,0.259635142,0.159886626,-0.235522942,-0.651955644,0.5441704,0.240117072,0.61163031,-0.918389971,1.227020656,-1.037988774,-1.061846801,1.704972779
2015/6/6,-0.564225624,0.06206146,-0.073841925,0.004473528,-1.013017678,1.700499236,-0.094476077,1.588824847,-1.671151372,-0.724504933,0.551362959,-1.662276639,-0.244119508
2015/6/7,-0.177399449,-0.563588532,0.043022351,0.124471763,-0.110362593,2.471385128,0.574710221,1.688538576,-1.552294309,-0.924661403,0.551362959,0.619356746,-0.244119508
2015/6/8,-0.287921214,0.259635142,-0.015409787,0.124471763,-0.110362593,0.929613345,0.240117072,0.890828749,-0.680675844,-0.073996403,0.551362959,-1.061846801,-0.244119508
2015/6/9,-0.122138567,0.39135093,-0.015409787,0.42446735,-0.471424627,2.471385128,-0.429069226,1.329569154,-1.354199203,-0.474309344,1.346038826,0.259098843,-0.244119508
2015/6/10,-1.006312682,-0.267228009,0.218318764,-0.175523825,0.431230458,0.5441704,-0.094476077,1.409340136,-1.23534214,-0.274152874,0.551362959,-0.341330995,-0.244119508
2015/6/11,-0.785269153,0.753569347,0.393615177,-0.415520295,0.792292492,2.085942182,0.240117072,0.312489125,0.349418706,1.076903303,-1.832664641,-1.782362607,-0.244119508
2015/6/12,-1.116834446,0.819427241,-0.891891852,-0.475519412,-0.832486661,1.700499236,-0.429069226,0.372317362,-0.680675844,1.427177126,-1.832664641,-1.302018736,1.426531023
2015/6/13,-1.503660622,-0.925806949,-0.716595439,-0.175523825,-0.651955644,1.315056291,-0.094476077,1.07031346,-1.076866055,-0.124035521,0.551362959,0.619356746,-0.244119508
2015/6/14,-1.227356211,-0.827020108,-0.658163302,-0.53551853,-0.651955644,0.929613345,-0.094476077,1.229855425,-1.037247034,-0.274152874,0.551362959,0.739442714,-0.244119508
2015/6/15,-0.785269153,-0.596517479,-0.307570475,-0.955512352,-1.013017678,0.158727454,-0.429069226,1.050370715,-0.918389971,0.07612095,0.551362959,0.619356746,-0.188431157
2015/6/16,-1.006312682,-0.925806949,-0.599731164,-0.895513235,-1.013017678,0.929613345,-0.094476077,1.030427969,-1.195723119,0.07612095,0.551362959,0.859528682,-0.244119508
2015/6/17,-0.9510518,-0.892878002,-0.132274062,-0.475519412,-0.651955644,0.158727454,0.240117072,1.130141697,-1.433437245,-0.023957286,-0.243312908,0.859528682,-0.244119508
2015/6/18,-0.674747389,-0.431872744,-0.541299026,-0.29552206,-0.110362593,-0.612158437,0.240117072,1.20991268,-1.116485076,0.176199185,1.346038826,-0.701588898,-0.10489863
2015/6/19,-0.674747389,-0.497730638,-0.833459715,-0.355521177,-1.013017678,-0.997601383,0.240117072,0.491973836,-0.680675844,1.377138009,-1.037988774,-1.422104704,0.591205758
2015/6/20,-0.177399449,-0.596517479,-0.073841925,-0.235522942,-0.29089361,0.158727454,0.90930337,1.52899661,-1.274961161,-0.424270227,0.551362959,0.859528682,-0.244119508
2015/6/21,-0.122138567,0.029132513,-0.132274062,-0.29552206,-0.29089361,-0.997601383,0.574710221,0.731286784,-1.076866055,1.227020656,-1.832664641,-2.022534542,-0.132742806
2015/6/22,-0.674747389,0.39135093,-0.132274062,0.42446735,-0.832486661,-0.612158437,0.574710221,1.050370715,-1.908865499,0.626551244,0.551362959,-0.341330995,-0.244119508
2015/6/23,-1.393138857,-0.135512222,0.276750901,-0.175523825,-0.471424627,-0.226715492,0.240117072,1.608767593,-2.186198647,0.07612095,-0.243312908,-0.10115906,-0.244119508
