,AQI指数,PM2.5,PM10,O3,no2,so2,co,T,Po,U,Ff,VV,RRR
count,2897.0,2897.0,2897.0,2897.0,2897.0,2897.0,2897.0,2897.0,2897.0,2897.0,2897.0,2897.0,2897.0
mean,53.210217466344496,79.11529168104936,39.26372109078357,38.92544011045909,11.611322057300656,5.588194684156023,6.282361063168795,17.433068691750087,607.5180531584398,63.47877114256127,2.3061788056610286,22.842388677942697,0.8767345529858475
std,18.099107315626963,30.373659921889516,17.116824348855896,16.669789136113653,5.540170624744757,2.594865591359813,2.989220311362917,5.015220343070459,2.524475891931067,19.987815214598214,1.2585919354605948,8.328805243156745,3.592035384093131
min,17.0,11.0,8.0,5.0,1.0,1.0,1.0,-3.7,600.9,14.0,0.0,0.4,0.0
25%,40.0,57.0,26.0,28.0,7.0,4.0,4.0,14.0,605.6,47.0,1.0,16.0,0.0
50%,51.0,74.0,37.0,36.0,11.0,5.0,6.0,18.1,607.3,66.0,2.0,27.0,0.0
75%,64.0,98.0,51.0,47.0,15.0,7.0,8.0,21.2,609.3,80.0,3.0,30.0,0.0
max,140.0,191.0,130.0,220.0,47.0,16.0,27.0,28.3,616.1,100.0,10.0,30.0,70.0
